Reference,Value,MPN,QTY
"C8,C9,C10,C11",10uF,CAPAE530X550N,4
"C2,C3",30pF,06031U300GAT2A,2
"C4,C5",6pF,CBR06C609CAGAC,2
"C6,C7,C12,C13,C14",0.1uF,C0603C104K5RACTU,5
D1,3.4V,SMF3.3,1
D2,6V,VESD05A1B-HD1-GS08,1
IC1,RT9080-33GJ5,RT9080-33GJ5,1
J1,10118194-0011LF,10118194-0011LF,1
J2,Jumper,PRPC003SAAN-RC,1
"R1,R2",22R,RC0805FR-0722RL,2
"R3,R4,R7,R8",1.5kR,RMCF0603FT1K50,4
R5,68kR,RC0603FR-0768KL,1
R6,13kR,RMCF0603FT13K0,1
"R9,R10,R11,R12,R13,R14,R15,R16",20kR,RC0603FR-0720KL,8
"R17,R19",0R,RC0603JR-070RL,2
R18,663R,RC0603FR-07665RL,1
"S1,S2,S3,S4,S5,S6,S7,S8,S10",B3F-1000,B3F-1000,12
U1,STM32F103C8Tx,STM32F103C8Tx,1
"U3,U4",COM-09032,9032,2
Y1,8MHz,ABLS-8.000MHZ-B4-T,1
Y2,32.768KHz,ABS25-32.768KHZ-6-T,1
C1,1uF,UMK107AB7105KA-T,1
,jumper short,QPC02SXGN-RC,1
