Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",CAPAE530X550N,2,10uF,
"C12, C13, C14, C6, C7",0603,5,0.1uF,
"C2, C3",0603,2,30pF,
"C4, C5",0603,2,6pF,
C8,0603,1,1uF,
D1,SMFA2005CA,1,3.4V,
D2,DIODE_VESD05A1B-HD1-GS08_VIS,1,6V,
IC1,RT9080-33GJ5,1,RT9080-33GJ5,
J1,10118194-0011LF,1,10118194-0011LF,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Jumper,
J3,PinHeader_1x04_P2.54mm_Vertical,1,STLink,
"R1, R2",0805,2,22R,
"R10, R11, R12, R13, R14, R15, R16, R20, R21, R22, R23, R24, R25, R9",0603,14,20kR,
"R17, R19",0603,2,0R,
R18,0603,1,663R,
"R3, R4, R7, R8",0603,4,1.5kR,
R5,0603,1,68kR,
R6,0603,1,13kR,
"S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S7, S8, S9",SW_B3F-1000,15,B3F-1000,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
"U3, U4",XDCR_COM-09032,2,COM-09032,
Y1,ABLS-8.000MHZ-B4-T,1,8MHz,
Y2,XTAL_ABS25-32.768KHZ-6-T,1,32.768KHz,
